student_id,age,gender,study_hours_per_day,smartphone_usage_hours,social_media_hours,gaming_hours,streaming_hours,sleep_hours,exercise_hours,class_attendance_percent,assignment_completion_percent,caffeine_intake_cups,mental_health_status,parent_education_level,internet_quality,motivation_level,final_exam_score
1,21,Female,3.01,0.26,1.77,0.26,1.71,5.32,0.7,64.87,74.11,2,Good,Masters,Average,6.32,82.7
2,23,Female,5.84,8.02,3.3,0.96,0.0,5.99,1.99,85.38,80.68,3,Average,Masters,Poor,2.52,85.65
3,20,Female,7.8,10.13,0.0,2.23,2.54,6.36,1.82,76.15,79.69,2,Good,HighSchool,Poor,3.98,88.14
4,20,Female,0.0,1.15,1.32,4.19,0.27,7.86,0.18,84.41,79.07,0,Average,HighSchool,Average,4.77,54.81
5,24,Male,7.23,1.39,2.21,4.67,2.75,7.88,0.28,81.13,65.4,4,Good,HighSchool,Average,8.77,84.34
6,24,Female,1.51,7.45,2.61,4.38,2.17,4.52,1.0,77.33,47.3,2,Good,HighSchool,Average,5.81,20.9
7,24,Female,4.38,2.57,4.43,0.59,1.65,7.37,0.6,78.37,90.83,1,Good,HighSchool,Average,3.79,94.06
8,25,Male,4.86,7.22,4.76,0.0,3.01,5.21,0.71,90.08,93.05,1,Average,Masters,Average,3.76,91.86
9,25,Male,3.8,6.8,6.82,1.98,0.0,7.41,1.14,81.29,69.13,0,Good,HighSchool,Average,3.43,91.58
10,24,Male,4.28,5.3,2.37,2.99,4.17,5.74,1.27,91.73,89.53,3,Average,HighSchool,Poor,7.18,97.71
11,23,Female,4.59,4.76,1.69,3.52,1.54,8.06,0.0,78.4,99.15,1,Average,HighSchool,Average,8.08,97.18
12,21,Female,5.36,5.67,4.57,3.42,3.42,7.95,0.0,75.67,88.77,0,Average,HighSchool,Average,9.24,92.1
13,17,Female,2.88,5.3,0.0,1.34,2.88,5.11,0.0,66.15,83.4,1,Good,Bachelors,Average,2.91,62.0
14,24,Male,2.66,7.93,3.77,2.71,1.55,5.1,1.75,91.61,69.32,2,Average,Masters,Poor,6.25,65.04
15,17,Female,3.09,4.35,5.66,2.84,1.58,5.49,0.67,94.33,91.72,0,Good,Bachelors,Poor,5.52,80.84
16,24,Male,4.69,1.77,3.32,1.01,1.88,8.25,1.03,91.01,92.99,2,Good,HighSchool,Average,6.16,100.0
17,23,Male,6.3,3.2,8.33,2.93,2.66,5.11,1.75,94.24,95.22,2,Average,Masters,Average,7.02,100.0
18,20,Male,3.45,1.72,0.0,2.01,1.42,9.03,0.39,94.18,93.31,0,Average,HighSchool,Poor,8.48,72.83
19,22,Male,5.17,4.2,2.87,0.83,2.19,8.12,0.0,91.34,94.81,2,Average,HighSchool,Average,4.83,75.26
20,25,Male,3.97,3.78,2.43,0.0,2.31,6.5,1.52,88.65,72.37,1,Average,Masters,Average,7.91,85.08
21,25,Male,5.19,3.21,4.17,1.58,2.77,5.57,1.27,87.67,88.48,1,Average,HighSchool,Good,6.01,87.0
22,24,Male,6.23,5.2,4.29,3.11,2.53,9.06,1.31,72.57,82.98,3,Good,Bachelors,Poor,6.0,100.0
23,22,Male,0.03,1.06,2.25,3.76,1.26,7.86,3.14,80.56,100.0,3,Average,Masters,Average,4.19,93.42
24,17,Female,7.11,7.02,4.4,0.0,0.31,6.29,1.37,95.62,80.8,4,Poor,Masters,Average,5.25,100.0
25,17,Male,6.99,2.4,4.32,0.71,0.0,8.48,0.6,100.0,63.11,3,Poor,Masters,Poor,2.85,83.67
26,19,Female,5.46,6.29,2.87,3.57,3.11,9.22,2.62,100.0,95.18,3,Average,PhD,Good,8.26,90.09
27,25,Male,4.81,5.96,2.84,2.44,3.06,8.96,2.11,79.43,89.46,2,Average,HighSchool,Average,1.0,75.01
28,23,Female,4.37,2.45,2.43,5.12,1.93,5.25,0.9,82.08,59.24,2,Good,PhD,Average,8.64,99.81
29,21,Male,1.77,3.25,3.4,1.48,0.06,8.43,1.86,100.0,58.66,1,Average,Bachelors,Good,3.72,68.12
30,24,Male,3.3,5.08,3.49,3.87,0.12,8.62,1.38,85.58,100.0,5,Good,Bachelors,Average,7.02,95.05
31,20,Female,2.03,8.3,3.78,2.3,0.86,4.74,0.68,86.77,93.67,2,Average,HighSchool,Poor,3.57,37.66
32,20,Male,5.57,9.47,0.75,2.12,2.36,7.68,0.69,90.9,66.76,2,Average,Bachelors,Poor,8.04,95.99
33,25,Male,1.53,5.23,0.0,1.59,1.82,8.62,1.72,86.02,93.38,1,Average,HighSchool,Poor,8.53,64.89
34,20,Male,2.25,6.21,2.52,1.86,1.16,7.36,1.33,80.62,62.68,2,Poor,Masters,Average,3.62,54.89
35,17,Female,1.82,7.52,1.38,2.91,2.4,8.55,1.49,85.44,100.0,0,Good,Bachelors,Good,6.37,82.36
36,18,Male,2.33,6.75,2.76,3.08,2.41,5.06,1.01,91.24,70.02,3,Average,HighSchool,Average,7.41,52.22
37,17,Male,4.63,6.62,4.0,0.35,0.05,7.93,2.08,96.18,44.64,0,Poor,HighSchool,Average,5.04,58.19
38,17,Male,5.63,5.29,1.05,0.0,1.06,7.34,0.27,81.47,60.32,1,Good,Masters,Poor,5.01,97.98
39,23,Male,5.18,7.41,3.05,4.41,1.19,8.52,0.87,81.09,60.48,1,Good,Bachelors,Good,4.29,98.59
40,24,Female,5.19,6.0,0.77,0.54,1.53,7.59,0.69,100.0,53.92,1,Good,Bachelors,Average,4.47,100.0
41,24,Female,6.13,6.64,1.9,2.42,3.45,6.02,0.19,96.86,81.52,1,Good,Bachelors,Poor,6.53,100.0
42,20,Female,6.04,2.11,1.17,1.79,2.27,7.14,2.07,88.69,76.91,0,Good,Bachelors,Good,8.09,100.0
43,17,Male,4.38,0.73,8.48,5.14,2.79,6.33,0.64,100.0,93.86,3,Good,Bachelors,Good,6.29,95.65
44,24,Male,3.67,8.08,2.7,3.81,2.05,6.8,0.33,87.37,68.16,1,Good,Bachelors,Good,6.7,83.75
45,24,Male,0.0,0.06,4.7,1.02,3.31,9.41,1.42,92.68,66.29,2,Good,HighSchool,Average,7.36,41.61
46,24,Female,2.21,3.56,5.8,2.61,2.15,5.69,0.5,78.88,91.98,1,Poor,HighSchool,Average,4.54,75.85
47,17,Male,0.0,10.72,5.83,0.0,1.74,5.03,1.01,89.14,60.26,3,Good,Bachelors,Average,6.54,34.26
48,22,Male,4.75,5.95,4.26,2.7,3.41,7.4,0.25,88.18,93.36,0,Good,Bachelors,Poor,6.17,83.72
49,21,Female,3.81,5.77,4.8,0.0,0.86,5.8,0.0,94.17,79.47,2,Good,Bachelors,Average,8.55,100.0
50,20,Female,4.61,7.65,2.19,1.6,1.51,7.73,0.65,69.01,81.12,4,Good,Bachelors,Average,6.11,92.63
51,18,Female,0.65,7.47,7.5,1.71,1.69,7.66,1.47,87.41,72.23,2,Average,HighSchool,Poor,6.14,51.44
52,20,Male,2.64,5.23,1.32,0.0,3.24,5.4,1.44,81.02,82.57,2,Good,Masters,Average,9.89,74.27
53,18,Female,6.62,6.55,3.15,3.86,3.49,6.81,2.28,64.89,64.32,0,Good,Bachelors,Average,4.69,98.75
54,20,Male,0.95,5.33,1.46,4.13,1.14,4.36,1.28,90.25,78.54,0,Poor,HighSchool,Good,7.95,45.15
55,21,Male,2.55,2.39,3.45,1.59,0.28,8.56,1.55,76.79,58.02,1,Good,Masters,Poor,7.1,80.23
56,20,Male,4.69,4.49,4.34,0.69,1.62,3.5,1.18,71.55,30.0,0,Average,HighSchool,Good,8.38,73.31
